Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAE_TS1,,,,2023-03-16 19:06:58,2023-03-16 19:08:59,2m - 0.611s,PASSED
,,,,,,,
Test Cases/Mobile TC/MAE Onboarding,,,,2023-03-16 19:06:58,2023-03-16 19:08:59,2m - 0.269s,PASSED
"startExistingApplication(""com.maybank2u.life"")",,,,2023-03-16 19:06:59,2023-03-16 19:07:16,16.763s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Skip""), 0)",,,,2023-03-16 19:07:16,2023-03-16 19:07:19,3.158s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-16 19:07:19,2023-03-16 19:07:20,0.827s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Skip""), 0)",,,,2023-03-16 19:07:20,2023-03-16 19:07:20,0.318s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Agree""), 0)",,,,2023-03-16 19:07:20,2023-03-16 19:07:21,0.686s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-16 19:07:21,2023-03-16 19:07:21,0.495s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Agree""), 0)",,,,2023-03-16 19:07:21,2023-03-16 19:07:21,0.184s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Hello""), 0)",,,,2023-03-16 19:07:21,2023-03-16 19:07:24,2.263s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Hello""), 0)",,,,2023-03-16 19:07:24,2023-03-16 19:07:24,0.335s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Existing M2UMAE user Log in here""), 0)",,,,2023-03-16 19:07:24,2023-03-16 19:07:26,1.747s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-16 19:07:26,2023-03-16 19:07:27,0.713s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Existing M2UMAE user Log in here""), 0)",,,,2023-03-16 19:07:27,2023-03-16 19:07:27,0.263s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Login to Maybank2u""), 0)",,,,2023-03-16 19:07:27,2023-03-16 19:07:28,1.301s,PASSED
"setText(findTestObject(""MAE Onboarding/android.widget.EditText""), ""mosajgohar1"", 0)",,,,2023-03-16 19:07:28,2023-03-16 19:07:29,0.901s,PASSED
hideKeyboard(),,,,2023-03-16 19:07:29,2023-03-16 19:07:31,1.587s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-16 19:07:31,2023-03-16 19:07:31,0.429s,PASSED
"getText(findTestObject(""MAE Onboarding/android.widget.TextView - Continue""), 0)",,,,2023-03-16 19:07:31,2023-03-16 19:07:31,0.331s,PASSED
"tap(findTestObject(""MAE Onboarding/android.widget.TextView - Continue""), 0)",,,,2023-03-16 19:07:31,2023-03-16 19:07:33,1.532s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - cap""), 0)",,,,2023-03-16 19:07:33,2023-03-16 19:07:33,0.359s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Yes, Its Mine""), 0)",,,,2023-03-16 19:07:33,2023-03-16 19:07:34,0.282s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-16 19:07:34,2023-03-16 19:07:34,0.508s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Yes, Its Mine""), 0)",,,,2023-03-16 19:07:34,2023-03-16 19:07:34,0.307s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Enter your password""), 0)",,,,2023-03-16 19:07:34,2023-03-16 19:07:36,1.329s,PASSED
"setText(findTestObject(""Object Repository/MAE Onboarding/android.widget.EditText (1)""), findTestData(""DevOps"").getValue(2, 1), 0)",,,,2023-03-16 19:07:36,2023-03-16 19:07:38,2.120s,PASSED
hideKeyboard(),,,,2023-03-16 19:07:38,2023-03-16 19:07:39,1.631s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Continue (1)""), 0)",,,,2023-03-16 19:07:39,2023-03-16 19:07:40,0.293s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Continue (1)""), 0)",,,,2023-03-16 19:07:40,2023-03-16 19:07:40,0.347s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Create your PIN for the app""), 0)",,,,2023-03-16 19:07:40,2023-03-16 19:07:42,2.029s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-16 19:07:42,2023-03-16 19:07:43,0.475s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - 1""), 0)",,,,2023-03-16 19:07:43,2023-03-16 19:07:43,0.525s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - 1""), 0)",,,,2023-03-16 19:07:43,2023-03-16 19:07:45,1.763s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - 1""), 0)",,,,2023-03-16 19:07:45,2023-03-16 19:07:47,1.778s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - 1""), 0)",,,,2023-03-16 19:07:47,2023-03-16 19:07:48,1.745s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - 1""), 0)",,,,2023-03-16 19:07:48,2023-03-16 19:07:50,1.772s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - 1""), 0)",,,,2023-03-16 19:07:50,2023-03-16 19:07:52,1.752s,PASSED
"takeScreenshot("""", CONTINUE_ON_FAILURE)",,,,2023-03-16 19:07:52,2023-03-16 19:07:52,0.457s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.ImageView""), 0)",,,,2023-03-16 19:07:52,2023-03-16 19:07:54,1.328s,PASSED
"getText(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - Confirm your 6-digit PIN""), 0)",,,,2023-03-16 19:07:54,2023-03-16 19:07:55,1.121s,PASSED
"tap(findTestObject(""Object Repository/MAE Onboarding/android.widget.TextView - 1""), 0)",,,,2023-03-16 19:07:55,2023-03-16 19:07:55,0.327s,PASSED
