Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAE_TS2,,,,2023-03-17 14:50:06,2023-03-17 14:55:17,5m - 11.683s,PASSED
,,,,,,,
Test Cases/Mobile TC/MAE Login,,,,2023-03-17 14:50:06,2023-03-17 14:55:17,5m - 11.198s,PASSED
"startExistingApplication(""com.maybank2u.life"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:50:07,2023-03-17 14:50:45,38.615s,PASSED
delay(1),,,,2023-03-17 14:50:45,2023-03-17 14:50:47,1.113s,PASSED
takeScreenshot(),,,,2023-03-17 14:50:47,2023-03-17 14:50:47,0.908s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Maybank2u""), 0)",,,,2023-03-17 14:50:47,2023-03-17 14:50:48,0.731s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Maybank2u""), 0)",,,,2023-03-17 14:50:48,2023-03-17 14:50:49,0.390s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Enter your 6-digit PIN""), 0)",,,,2023-03-17 14:50:49,2023-03-17 14:50:50,0.993s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\2.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:50:50,2023-03-17 14:50:50,0.448s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-17 14:50:50,2023-03-17 14:50:50,0.291s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-17 14:50:50,2023-03-17 14:50:52,1.632s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-17 14:50:52,2023-03-17 14:50:54,1.674s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-17 14:50:54,2023-03-17 14:50:56,1.942s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-17 14:50:56,2023-03-17 14:50:57,1.727s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1""), 0)",,,,2023-03-17 14:50:57,2023-03-17 14:50:59,1.696s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Total Balance""), 0)",,,,2023-03-17 14:50:59,2023-03-17 14:51:02,2.628s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Savings Account-i""), 0)",,,,2023-03-17 14:51:02,2023-03-17 14:51:02,0.369s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\3.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:51:02,2023-03-17 14:51:03,0.737s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Savings Account-i""), 0)",,,,2023-03-17 14:51:03,2023-03-17 14:51:03,0.372s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - View Transactions""), 0)",,,,2023-03-17 14:51:03,2023-03-17 14:51:04,1.372s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Transfer""), 0)",,,,2023-03-17 14:51:04,2023-03-17 14:51:05,0.413s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Transfer""), 0)",,,,2023-03-17 14:51:05,2023-03-17 14:51:06,0.827s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.EditText - M2U password""), 0)",,,,2023-03-17 14:51:06,2023-03-17 14:51:06,0.002s,NOT_RUN
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\4.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:51:06,2023-03-17 14:51:06,0.502s,PASSED
"setText(findTestObject(""MAE Transfer/android.widget.EditText - M2U password""), findTestData(""DevOps"").getValue(2, 1), 0)",,,,2023-03-17 14:51:06,2023-03-17 14:52:58,1m - 52.234s,PASSED
hideKeyboard(),,,,2023-03-17 14:52:58,2023-03-17 14:53:00,1.727s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Continue""), 0)",,,,2023-03-17 14:53:00,2023-03-17 14:53:00,0.001s,NOT_RUN
"tap(findTestObject(""MAE Transfer/android.widget.TextView - Continue""), 0)",,,,2023-03-17 14:53:00,2023-03-17 14:54:01,1m - 0.934s,PASSED
delay(5),,,,2023-03-17 14:54:01,2023-03-17 14:54:06,5.002s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\5.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:54:06,2023-03-17 14:54:07,0.521s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - MAE""), 0)",,,,2023-03-17 14:54:07,2023-03-17 14:54:58,51.736s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Enter amount""), 0)",,,,2023-03-17 14:54:58,2023-03-17 14:54:59,0.361s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 1 (1)""), 0)",,,,2023-03-17 14:54:59,2023-03-17 14:54:59,0.368s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\6.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:54:59,2023-03-17 14:55:00,0.434s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.ImageView""), 0)",,,,2023-03-17 14:55:00,2023-03-17 14:55:00,0.706s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Enter recipient reference""), 0)",,,,2023-03-17 14:55:00,2023-03-17 14:55:02,2.126s,PASSED
"setText(findTestObject(""Object Repository/MAE Transfer/android.widget.EditText""), ""self transfer"", 0)",,,,2023-03-17 14:55:02,2023-03-17 14:55:03,1.005s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\7.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:55:03,2023-03-17 14:55:04,0.478s,PASSED
hideKeyboard(),,,,2023-03-17 14:55:04,2023-03-17 14:55:06,1.687s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Continue (1)""), 0)",,,,2023-03-17 14:55:06,2023-03-17 14:55:06,0.331s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Transfer Now""), 0)",,,,2023-03-17 14:55:06,2023-03-17 14:55:08,2.234s,PASSED
"tap(findTestObject(""MAE Transfer/android.widget.TextView - Transfer Now""), 0)",,,,2023-03-17 14:55:08,2023-03-17 14:55:08,0.336s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\8.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:55:08,2023-03-17 14:55:09,0.446s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Transfer successful""), 0)",,,,2023-03-17 14:55:09,2023-03-17 14:55:11,2.099s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\9.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:55:11,2023-03-17 14:55:11,0.466s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - 501652585M""), 0)",,,,2023-03-17 14:55:11,2023-03-17 14:55:12,0.744s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Share Receipt""), 0)",,,,2023-03-17 14:55:12,2023-03-17 14:55:12,0.284s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Successful""), 0)",,,,2023-03-17 14:55:12,2023-03-17 14:55:14,1.471s,PASSED
"takeScreenshot(""C:\Users\00123955\git\screenshot\MAE\10.png"", CONTINUE_ON_FAILURE)",,,,2023-03-17 14:55:14,2023-03-17 14:55:14,0.481s,PASSED
"tap(findTestObject(""Object Repository/MAE Transfer/android.widget.ImageView (1)""), 0)",,,,2023-03-17 14:55:14,2023-03-17 14:55:15,0.457s,PASSED
"getText(findTestObject(""Object Repository/MAE Transfer/android.widget.TextView - Done""), 0)",,,,2023-03-17 14:55:15,2023-03-17 14:55:16,1.138s,PASSED
"tap(findTestObject(""MAE Transfer/android.widget.TextView - Done""), 0)",,,,2023-03-17 14:55:16,2023-03-17 14:55:16,0.260s,PASSED
closeApplication(),,,,2023-03-17 14:55:16,2023-03-17 14:55:17,1.000s,PASSED
